"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Pixelated Circularly Polarized SIW Horn Antenna With Nearly Equal Beamwidths in Principal Planes","J. Zechmeister; J. Lacik","Dept. of Radio Electronics, Brno University of Technology, Brno, Czech Republic; Dept. of Radio Electronics, Brno University of Technology, Brno, Czech Republic",2022 24th International Microwave and Radar Conference (MIKON),"25 Oct 2022","2022","","","1","4","In this paper, a circularly polarized Substrate Inte-grated Waveguide horn antenna with nearly equal beamwidths in principal planes is presented. The antenna is designed to operate at the 24 GHz ISM band. The antenna parameters enhancement is achieved using a pixelization strategy applied to its topology. For the design, a heuristic algorithm called Binary Ink Stamp optimization is exploited. The simulated proposed antenna provides a -10dB reflection coefficient bandwidth of 21.4%, a 3dB axial ratio bandwidth of 4.1% and a gain 9.4 dBi. A difference between half-power beamwidths in principal planes over the 24 GHz ISM band is below 1°.","","978-83-956020-3-0","10.23919/MIKON54314.2022.9924837","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9924837","binary optimization;pixelated antenna;SIW horn antenna","Microwave antennas;Antenna measurements;Image quality;Microwave measurement;Horn antennas;Bandwidth;Radar antennas","","1","","9","","25 Oct 2022","12-14 Sept. 2022","12-14 Sept. 2022","IEEE","IEEE Conferences"
"A Pixelated Resonator for Mutual Coupling Reduction","A. Ghadimi; V. Nayyeri; P. Salimi; M. Khanjarian; M. Soleimani; O. M. Ramahi","Antenna and Microwave Research Laboratory, Iran University of Science and Technology, Tehran, Iran; Antenna and Microwave Research Laboratory, Iran University of Science and Technology, Tehran, Iran; Antenna and Microwave Research Laboratory, Iran University of Science and Technology, Tehran, Iran; Antenna and Microwave Research Laboratory, Iran University of Science and Technology, Tehran, Iran; Antenna and Microwave Research Laboratory, Iran University of Science and Technology, Tehran, Iran; Departement of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada",2020 IEEE International Symposium on Antennas and Propagation and North American Radio Science Meeting,"17 Feb 2021","2020","","","1925","1926","In this paper, a systematic procedure to reduce mutual coupling between linear 2 ×1 array microstrip antennas is proposed. The proposed design procedure is based on pixelization of the surface between two patch elements and the application of a binary particle swarm optimization (BPSO) algorithm. In the binary optimization algorithm, each pixel is represented by a bit that gets a binary value of 1 or 0 indicating the presence or absence of copper on the area of the pixel. The optimization goal is set to minimizing the mutual coupling between two elements while the impedance matching and radiation pattern are not degraded. The concept of the work is validated by full-wave simulations and measurements.","1947-1491","978-1-7281-6670-4","10.1109/IEEECONF35879.2020.9330471","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9330471","Binary optimization;microstrip antenna array;mutual coupling reduction;pixelization","Mutual coupling;Microstrip antenna arrays;Surface impedance;Systematics;Linear antenna arrays;Particle swarm optimization;Optimization","","","","5","IEEE","17 Feb 2021","5-10 July 2020","5-10 July 2020","IEEE","IEEE Conferences"
"Accurate Modeling by Convolutional Neural-Network Regression of Resonant Frequencies of Dual-Band Pixelated Microstrip Antenna","J. P. Jacobs","Centre for Electromagnetism, Department of Electrical, Electronic and Computer Engineering, University of Pretoria, Pretoria, South Africa",IEEE Antennas and Wireless Propagation Letters,"20 Dec 2021","2021","20","12","2417","2421","The modeling of the performance characteristics of pixelated microstrip antennas poses special difficulties as their geometries cannot be readily parametrized compared with the geometries of antennas with standard shapes. A methodology is presented for accurately modeling the two resonant frequencies of a dual-band pixelated microstrip antenna based on convolutional-neural-network (CNN) regression that takes a representation of the entire pixelated surface of the antenna as input. The predictive performance of the CNN and shallow and deep conventional feedforward neural-net architectures were compared; architectural and learning algorithm hyperparameters were determined by means of Bayesian optimization. The CNN achieved the best predictive results of all the networks with mean relative errors on test predictions of 0.13% and 0.22% for the two resonant frequencies, respectively.","1548-5757","","10.1109/LAWP.2021.3113389","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9541024","Antennas;modeling;neural networks","Geometry;Microstrip antennas;Resonant frequency;Image quality;Convolutional neural networks;Antennas;Neural networks","","58","","17","IEEE","20 Sep 2021","Dec. 2021","","IEEE","IEEE Journals"
"Bandwidth Enhancement of Pixelated Patch Antennas Based on Localized Reinforcement Learning","Q. Wang; Z. Pang; D. Gao; P. Liu; X. Zhang; X. Pang; X. Yin","AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; State Key Laboratory of Millimeter Waves, Southeast University, Nanjing, China","2024 14th International Symposium on Antennas, Propagation and EM Theory (ISAPE)","22 Jan 2025","2024","","","1","4","This paper employs a reinforcement learning algorithm to improve bandwidth for a pixelated patch antenna. Differing from traditional methods that depend on manual tuning and extensive computations, this approach autonomously discerns the relationships between numerically characterized pixelated patch antennas and their S-parameters. Specifically, the implementation of a double deep Q-network (DDQN) and prioritized experience replay allows the model to dynamically adjust learning processes based on a structured exploration of state and action spaces. In this case, pixelated patch antenna configurations are efficiently optimized for maximal bandwidth performance. The learning model systematically tests and refines antenna designs by iteratively adjusting the presence or absence of metal at each pixel, thereby achieving a significant bandwidth increase to 34%. This method not only optimizes the bandwidth efficiently but also suggests promising applications in complex antenna designs.","2643-4687","979-8-3503-5312-9","10.1109/ISAPE62431.2024.10840429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10840429","Bandwidth optimization;deep Q-network (DDQN);pixelated patch antenna;reinforcement learning","Image quality;Antenna theory;Patch antennas;Design methodology;Simulation;Bandwidth;Reinforcement learning;Space exploration;Scattering parameters;Tuning","","","","14","IEEE","22 Jan 2025","23-26 Oct. 2024","23-26 Oct. 2024","IEEE","IEEE Conferences"
"Design and Optimization of a Configurable Pixelated Antenna Using a Genetic Algorithm","A. Istiaque; M. B. Alam Sharmi; M. Mitra Jakey; M. F. Hossain; M. A. Hossain","Dept. of Electronics and Telecommunication Engineering, Chittagong University of Engineering and Technology; Dept. of Electronics and Telecommunication Engineering, Chittagong University of Engineering and Technology; Dept. of Electronics and Telecommunication Engineering, Chittagong University of Engineering and Technology; Dept. of Electronics and Telecommunication Engineering, Chittagong University of Engineering and Technology; Dept. of Electronics and Telecommunication Engineering, Chittagong University of Engineering and Technology","2025 International Conference on Electrical, Computer and Communication Engineering (ECCE)","29 May 2025","2025","","","1","6","Modern antenna design standards are evolving, and there has been a significant interest in algorithm-driven antenna design. Predefined, conventional structures are often implemented and optimized through optimization techniques. However, recent trends show that optimized pixelated antennas can outperform classical designs due to greater design flexibility. This study proposes a novel approach towards designing a pixelated antenna with no conventional shape, which could be configured to resonate at any frequency using a genetic algorithm. To achieve this, a radiating structure composed of an 8x8 grid of metallic pixels was generated, with each pixel being independently controlled by a binary parameter. This structure was then mirrored across both the X and Y axes for symmetry. As this was a binary optimization task, a genetic algorithm was used to find the optimal pixel configuration that achieves resonance at a desired frequency while minimizing return loss. The antennas were simulated in CST Microwave Studio while the Genetic Algorithm was run on MATLAB to generate the antenna parameters. The generated structures show excellent performance with return loss (S11) values of −18.05dB at 2.45GHz, −28.93dB at 3GHz, −16.49dB. at 4GHz, −28.78dB at 5GHz, and −22.34dB at 6GHz, respectively. A further fine-tuning process was also explored. The process was shown to be able to efficiently generate new antenna structures as per user demand.","","979-8-3503-5750-9","10.1109/ECCE64574.2025.11012949","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11012949","Pixelated Antenna;Genetic Algorithm;Binary Optimization Problem;CST Microwave Studio;MATLAB","Image quality;Microwave antennas;6G mobile communication;Design methodology;Resonant frequency;Microwave communication;MATLAB;Optimization;Standards;Genetic algorithms","","","","14","IEEE","29 May 2025","13-15 Feb. 2025","13-15 Feb. 2025","IEEE","IEEE Conferences"
"Knowledge-Guided Machine Learning for Broadband Pixelated Patch Antenna Design","Z. Pang; Q. Wang; Q. Liu; S. Liu; S. Sun; X. Yin","AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; State Key Laboratory of Millimeter Waves, Southeast University, Nanjing, China",2025 8th International Conference on Electronics Technology (ICET),"12 Aug 2025","2025","","","59","63","A knowledge-guided machine learning assisted (KG-MLA) method is proposed for the design of a broadband pixelated patch antenna. Differing from the traditional MLA design scheme, the proposed KG-MLA utilizes prior knowledge to select optimization pixels for sample collection based on a typical E-shaped patch antenna. The reduced sample space ensures a significant decrease in training samples, facilitating easier convergence of the surrogate model and enhancing the optimization efficiency. Specifically, the wideband E-shaped patch antenna is first pixelated, and sample collection points are selected based on prior knowledge. The collected samples are then binarized into a 0-1 matrix. A convolutional neural network (CNN) is employed to establish a mapping between the binary matrix and the S-parameters, thereby constructing a surrogate model. Using the trained surrogate model, the bandwidth is efficiently optimized via the particle swarm optimization (PSO) algorithm. The simulation results indicate that the reflection coefficient of the optimized patch antenna remains below −10 dB across the frequency range from 1.92 GHz to 2.63 GHz, corresponding to a bandwidth of ${31.2\%}$.","2768-6515","979-8-3315-1939-1","10.1109/ICET64964.2025.11102900","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11102900","Convolutional neural network (CNN);knowledge-guided machine learning assisted (KG-MLA) method;pixelated patch antenna;particle swarm optimization (PSO) algorithm","Image quality;Training;Machine learning algorithms;Patch antennas;Machine learning;Broadband communication;Convolutional neural networks;Broadband antennas;Particle swarm optimization;Optimization","","","","17","IEEE","12 Aug 2025","17-20 May 2025","17-20 May 2025","IEEE","IEEE Conferences"
"Design of High-Gain Lens Antenna Using Pixelated Phase Gradient Metasurface","M. Soltani; Y. Azizi; M. Soleimani; L. Matekovits","School of Electrical Engineering, Iran University of Science and Technology, Tehran, Iran; School of Electrical Engineering, Iran University of Science and Technology, Tehran, Iran; School of Electrical Engineering, Iran University of Science and Technology, Tehran, Iran; Department of Electronics and Telecommunications, Politécnico di Torino, Tehran, Iran",2022 International Conference on Electromagnetics in Advanced Applications (ICEAA),"28 Sep 2022","2022","","","052","055","In this paper a novel systematic design method based on Genetic Algorithm (GA) for transmitting lens antenna design is introduced. The antenna consists of a dual-layer phase-gradient metasurface (PGMS). GA has been used to design the unit cells configurations incorporating in the cost function the performances of the main parameters of an antenna such as gain, bandwidth and side lobe level. To design a set of pixilation-based unit cells, a single bit with a binary value of 0 or 1 that indicates the presence or absence of copper at the pixel level, respectively, has been considered for each pixel. By setting the dimensions of each unit cell with a value of 0.4$\lambda\times 0.4\lambda$ ($\lambda$ being the wavelength at 12 GHz) and with binary optimization based on GA, appropriate transmission coefficient with suitable transmission phase in the range of [0,2$\pi$] has been achieved. The proposed PGMS antenna uses a 1.58 mm thick, RO4003C (lossy) transmission lens with a dimension of $110\times 110\times 35mm^{3}$ and a microstrip patch antenna acts as a radiation source. The proposed PGMS antenna has a 20.3 dB realized gain which is 13.5 dB greater than the single patch antenna one (6.8dB) and exhibits -15.5dB side lobe level (SLL) at 12 GHz. Simulation results of the proposed PGMS antenna verify the validity of the design method.","","978-1-6654-8111-3","10.1109/ICEAA49419.2022.9899936","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9899936","lens antenna;phase gradient metasurface;unit cell;optimization","Patch antennas;Design methodology;Transmitting antennas;Microstrip antennas;Bandwidth;Metasurfaces;Antennas","","","","14","IEEE","28 Sep 2022","5-9 Sept. 2022","5-9 Sept. 2022","IEEE","IEEE Conferences"
"Novel pixelated high efficiency planar millimeter-wave antennas","A. S. Abdellatif; S. Safavi-Naeini","Electrical and Computer Engineering Department, University of Waterloo, Waterloo, ON, Canada; Electrical and Computer Engineering Department, University of Waterloo, Waterloo, ON, Canada",2012 15 International Symposium on Antenna Technology and Applied Electromagnetics,"9 Aug 2012","2012","","","1","2","This paper presents a new method for designing planar millimeter-wave antennas with optimal shape. The method is applied to dielectric antennas for high efficiency. The method simply pixelates the available space for the antenna into small boxes and then a finite-elements solver integrated with an optimization engine is used to find the pixels pattern in this finite space which satisfies the required specifications e.g. Gain, Main Beam Angle, Bandwith, etc...","","978-1-4673-0292-0","10.1109/ANTEM.2012.6262412","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6262412","millimeter-wave antennas;dielectric waveguide;genetic algorithm;high resistivity Silicon","Reflection;Gratings;Dielectrics;Antennas","","","","8","IEEE","9 Aug 2012","25-28 June 2012","25-28 June 2012","IEEE","IEEE Conferences"
"Machine Learning-Assisted Quasi-Bisection Method for Pixelated Patch Antenna Bandwidth Optimization","Q. Wang; Z. Pang; D. Gao; P. Liu; X. Pang; X. Yin","Aeronautical Science Key Laboratory for High Performance Electromagnetic Windows, AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; Aeronautical Science Key Laboratory for High Performance Electromagnetic Windows, AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; Aeronautical Science Key Laboratory for High Performance Electromagnetic Windows, AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; Aeronautical Science Key Laboratory for High Performance Electromagnetic Windows, AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; Aeronautical Science Key Laboratory for High Performance Electromagnetic Windows, AVIC Research Institute for Special Structures of Aeronautical Composites, Jinan, China; State Key Laboratory of Millimeter Waves, Southeast University, Nanjing, China",IEEE Antennas and Wireless Propagation Letters,"12 Dec 2024","2024","23","12","4807","4811","A machine learning-assisted quasi-bisection method (MLAQBM) is proposed for the broadband optimization of the pixelated patch antennas. Distinct from traditional MLA optimization methods, MLAQBM employs a coarse-to-fine pixel partition and machine learning optimization to iteratively refine the shape of the antenna. Two implementation strategies are introduced. In the first strategy, larger pixels are initially partitioned and samples are collected. A surrogate model is then established using convolutional neural networks (CNN), and an initial shape is derived through particle swarm optimization (PSO). Again, further refinement is achieved by finer pixel partitioning and subsequent CNN-based PSO. The second strategy leverages a pre-existing broadband E-shaped patch design, which is then subdivided into smaller pixels. By collecting samples, training a CNN surrogate model, and performing PSO optimization, a broader bandwidth is realized. Compared with the reported MLA optimization methods, MLAQBM establishes a stable surrogate model that is robust, easy to converge, and adaptable to different optimization objectives. To validate the proposed strategies, the optimized pixelated patch antennas are fabricated and measured. The measured results demonstrate that the bandwidth of the proposed patch antennas achieves 24.5% and 32.5%.","1548-5757","","10.1109/LAWP.2024.3475628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10706917","Antennas;convolutional neural network (CNN);machine learning;particle swarm optimization (PSO);pixel;quasi-bisection method","Optimization;Patch antennas;Image quality;Training;Convolutional neural networks;Bandwidth;Reflection coefficient;Broadband antennas;Predictive models","","7","","20","IEEE","7 Oct 2024","Dec. 2024","","IEEE","IEEE Journals"
"Micro-actuated pixel patch antenna design using particle swarm optimization","J. Kovitz; Y. Rahmat-Samii","Electrical Engineering Department, University of California, Los Angeles, Los Angeles, CA, USA; Electrical Engineering Department, University of California, Los Angeles, Los Angeles, CA, USA",2011 IEEE International Symposium on Antennas and Propagation (APSURSI),"25 Aug 2011","2011","","","2415","2418","Reconfigurable antennas are quite useful because of their versatility in many different applications. An innovative approach for configuring these antennas using an optimizer is investigated. This is accomplished by implementing particle swarm optimization as the antenna controller. Simulation results show rapid convergence onto optimal pixel configurations for a desired resonant frequency. In summary, the Software Optimized Antenna (SOA), a novel class of antenna, is being proposed and investigated.","1947-1491","978-1-4244-9563-4","10.1109/APS.2011.5997009","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5997009","particle swarm;pixelled;pixelated patch antenna;optimization;reconfigurable antennas;software optimized antenna","Resonant frequency;Patch antennas;Antenna radiation patterns;Software;Image quality;Particle swarm optimization","","7","","6","IEEE","25 Aug 2011","3-8 July 2011","3-8 July 2011","IEEE","IEEE Conferences"
